Starting ...
cuda
Model properties:  ['affinity']
Preference properties:  ['affinity']
Building Vocab
{'batch_size': 128, 'd_model': 512, 'n_heads': 8, 'n_layers': 6, 'hidden_units': 512, 'lr': 1e-05, 'epochs': 265, 'properties': ['affinity', 'logps', 'qeds', 'sas', 'tpsas'], 'model_properties': ['affinity'], 'run_name': 'LCK_DOCKSTRING_FAST_ACTUAL_affinity'}
length of preference data : 41795
Sample preference_data[0]: ['O1C(C(=O)N2CCN(CC2)C3=CC=C(N(=O)=O)C=C3)=C(C=4C1=CC=CC4)C', array([0.47959185, 0.53255087, 0.54797947, 0.15855041, 0.16055913]), [np.str_('O1C(=NC2=C(C1=O)C=CC=C2)C3=C(C(=O)NCCC4=CC=CC=C4)C=CC(OC)=C3'), np.float64(0.9873459430403937), array([0.52040816, 0.54211667, 0.55725834, 0.15815913, 0.16377715])], [np.str_('O1C(=NC2=C(C1=O)C=CC=C2)C3=CC(OC(=O)C=4C=CC=CC4)=C(OC)C=C3'), np.float64(0.9574398041990725), array([0.43877551, 0.55263869, 0.41284505, 0.14420153, 0.15814562])]]
LCK_DOCKSTRING_FAST_ACTUAL_affinity
len(target_smiles): 41800
len(data): 41800
LCK_DOCKSTRING_FAST_ACTUAL_affinity
Loading affinity-only preference data from: ../checkpoints/LCK_DOCKSTRING_FAST_ACTUAL_affinity_logps_qeds_sas_tpsas/PreferenceData_affinity.pkl
dataset built
cuda
True
2.7.1+cu118
No of GPUs available 4
No of GPUs available 4
{'batch_size': 128, 'd_model': 512, 'n_heads': 8, 'n_layers': 6, 'hidden_units': 512, 'lr': 1e-05, 'epochs': 10, 'model_properties': ['affinity'], 'preference_properties': ['affinity'], 'ipo': False, 'run_name': 'DPO_Finetuning_BETA_0.11_epochs_10_LCK_DOCKSTRING_FAST_ACTUAL_affinity_DPO_pref_affinity', 'beta': 0.11}
Temperature:  0.5
Sampling: iteration: 0/51
{'Validity': 0.9970703125, 'Novelty': 1.0, 'Uniqueness': 0.9853085210577864}
Training Epoch: 0 | iteration: 0/262 | Loss: 0.7237588763237
Training Epoch: 0 | iteration: 1/262 | Loss: 0.7543302774429321
Training Epoch: 0 | iteration: 2/262 | Loss: 0.7415329813957214
Training Epoch: 0 | iteration: 3/262 | Loss: 0.7484872341156006
Training Epoch: 0 | iteration: 4/262 | Loss: 0.7799607515335083
Training Epoch: 0 | iteration: 5/262 | Loss: 0.7683947086334229
Training Epoch: 0 | iteration: 6/262 | Loss: 0.7879124879837036
Training Epoch: 0 | iteration: 7/262 | Loss: 0.741384744644165
Training Epoch: 0 | iteration: 8/262 | Loss: 0.7633590698242188
Training Epoch: 0 | iteration: 9/262 | Loss: 0.7439501285552979
Training Epoch: 0 | iteration: 10/262 | Loss: 0.784347653388977
Training Epoch: 0 | iteration: 11/262 | Loss: 0.7916355133056641
Training Epoch: 0 | iteration: 12/262 | Loss: 0.7108865976333618
Training Epoch: 0 | iteration: 13/262 | Loss: 0.7500659227371216
Training Epoch: 0 | iteration: 14/262 | Loss: 0.7561415433883667
Training Epoch: 0 | iteration: 15/262 | Loss: 0.761176586151123
Training Epoch: 0 | iteration: 16/262 | Loss: 0.7342932224273682
Training Epoch: 0 | iteration: 17/262 | Loss: 0.7382925748825073
Training Epoch: 0 | iteration: 18/262 | Loss: 0.7713278532028198
Training Epoch: 0 | iteration: 19/262 | Loss: 0.7480833530426025
Training Epoch: 0 | iteration: 20/262 | Loss: 0.7146312594413757
Training Epoch: 0 | iteration: 21/262 | Loss: 0.755408525466919
Training Epoch: 0 | iteration: 22/262 | Loss: 0.7808201909065247
Training Epoch: 0 | iteration: 23/262 | Loss: 0.7046513557434082
Training Epoch: 0 | iteration: 24/262 | Loss: 0.758276104927063
Training Epoch: 0 | iteration: 25/262 | Loss: 0.7484028339385986
Training Epoch: 0 | iteration: 26/262 | Loss: 0.7709900140762329
Training Epoch: 0 | iteration: 27/262 | Loss: 0.7408039569854736
Training Epoch: 0 | iteration: 28/262 | Loss: 0.7386685013771057
Training Epoch: 0 | iteration: 29/262 | Loss: 0.7112827301025391
Training Epoch: 0 | iteration: 30/262 | Loss: 0.687758207321167
Training Epoch: 0 | iteration: 31/262 | Loss: 0.7601923942565918
Training Epoch: 0 | iteration: 32/262 | Loss: 0.6880286931991577
Training Epoch: 0 | iteration: 33/262 | Loss: 0.7312227487564087
Training Epoch: 0 | iteration: 34/262 | Loss: 0.7657614350318909
Training Epoch: 0 | iteration: 35/262 | Loss: 0.7483308911323547
Training Epoch: 0 | iteration: 36/262 | Loss: 0.7296431064605713
Training Epoch: 0 | iteration: 37/262 | Loss: 0.784381628036499
Training Epoch: 0 | iteration: 38/262 | Loss: 0.7420135736465454
Training Epoch: 0 | iteration: 39/262 | Loss: 0.7493391036987305
Training Epoch: 0 | iteration: 40/262 | Loss: 0.6995395421981812
Training Epoch: 0 | iteration: 41/262 | Loss: 0.7348036170005798
Training Epoch: 0 | iteration: 42/262 | Loss: 0.7268486618995667
Training Epoch: 0 | iteration: 43/262 | Loss: 0.6972960233688354
Training Epoch: 0 | iteration: 44/262 | Loss: 0.7236728668212891
Training Epoch: 0 | iteration: 45/262 | Loss: 0.7719031572341919
Training Epoch: 0 | iteration: 46/262 | Loss: 0.7230923175811768
Training Epoch: 0 | iteration: 47/262 | Loss: 0.7070515155792236
Training Epoch: 0 | iteration: 48/262 | Loss: 0.7323215007781982
Training Epoch: 0 | iteration: 49/262 | Loss: 0.7378966808319092
Training Epoch: 0 | iteration: 50/262 | Loss: 0.7423593401908875
Training Epoch: 0 | iteration: 51/262 | Loss: 0.7194174528121948
Training Epoch: 0 | iteration: 52/262 | Loss: 0.7469346523284912
Training Epoch: 0 | iteration: 53/262 | Loss: 0.7210096120834351
Training Epoch: 0 | iteration: 54/262 | Loss: 0.6993290185928345
Training Epoch: 0 | iteration: 55/262 | Loss: 0.7256821393966675
Training Epoch: 0 | iteration: 56/262 | Loss: 0.771041750907898
Training Epoch: 0 | iteration: 57/262 | Loss: 0.7545560598373413
Training Epoch: 0 | iteration: 58/262 | Loss: 0.7099225521087646
Training Epoch: 0 | iteration: 59/262 | Loss: 0.6962890625
Training Epoch: 0 | iteration: 60/262 | Loss: 0.7289152145385742
Training Epoch: 0 | iteration: 61/262 | Loss: 0.7170838713645935
Training Epoch: 0 | iteration: 62/262 | Loss: 0.7589342594146729
Training Epoch: 0 | iteration: 63/262 | Loss: 0.7051699161529541
Training Epoch: 0 | iteration: 64/262 | Loss: 0.6968367099761963
Training Epoch: 0 | iteration: 65/262 | Loss: 0.7394287586212158
Training Epoch: 0 | iteration: 66/262 | Loss: 0.7363764047622681
Training Epoch: 0 | iteration: 67/262 | Loss: 0.7324386239051819
Training Epoch: 0 | iteration: 68/262 | Loss: 0.6887214183807373
Training Epoch: 0 | iteration: 69/262 | Loss: 0.6852887868881226
Training Epoch: 0 | iteration: 70/262 | Loss: 0.7019800543785095
Training Epoch: 0 | iteration: 71/262 | Loss: 0.7366869449615479
Training Epoch: 0 | iteration: 72/262 | Loss: 0.7024654150009155
Training Epoch: 0 | iteration: 73/262 | Loss: 0.6909757256507874
Training Epoch: 0 | iteration: 74/262 | Loss: 0.7536507844924927
