Starting ...
cuda
Model properties:  ['affinity', 'tpsas']
Preference properties:  ['affinity']
Building Vocab
{'batch_size': 128, 'd_model': 512, 'n_heads': 8, 'n_layers': 6, 'hidden_units': 512, 'lr': 1e-05, 'epochs': 265, 'properties': ['affinity', 'logps', 'qeds', 'sas', 'tpsas'], 'model_properties': ['affinity', 'tpsas'], 'run_name': 'LCK_DOCKSTRING_FAST_ACTUAL_affinity_tpsas'}
length of preference data : 41795
Sample preference_data[0]: ['O1C(C(=O)N2CCN(CC2)C3=CC=C(N(=O)=O)C=C3)=C(C=4C1=CC=CC4)C', array([0.47959185, 0.53255087, 0.54797947, 0.15855041, 0.16055913]), [np.str_('O1C(=NC2=C(C1=O)C=CC=C2)C3=C(C(=O)NCCC4=CC=CC=C4)C=CC(OC)=C3'), np.float64(0.9873459430403937), array([0.52040816, 0.54211667, 0.55725834, 0.15815913, 0.16377715])], [np.str_('O1C(=NC2=C(C1=O)C=CC=C2)C3=CC(OC(=O)C=4C=CC=CC4)=C(OC)C=C3'), np.float64(0.9574398041990725), array([0.43877551, 0.55263869, 0.41284505, 0.14420153, 0.15814562])]]
LCK_DOCKSTRING_FAST_ACTUAL_affinity_tpsas
len(target_smiles): 41800
len(data): 41800
LCK_DOCKSTRING_FAST_ACTUAL_affinity_tpsas
Loading affinity-only preference data from: ../checkpoints/LCK_DOCKSTRING_FAST_ACTUAL_affinity_logps_qeds_sas_tpsas/PreferenceData_affinity.pkl
dataset built
cuda
True
2.7.1+cu118
No of GPUs available 4
No of GPUs available 4
{'batch_size': 128, 'd_model': 512, 'n_heads': 8, 'n_layers': 6, 'hidden_units': 512, 'lr': 1e-05, 'epochs': 10, 'model_properties': ['affinity', 'tpsas'], 'preference_properties': ['affinity'], 'ipo': False, 'run_name': 'DPO_Finetuning_BETA_0.11_epochs_10_LCK_DOCKSTRING_FAST_ACTUAL_affinity_tpsas_DPO_pref_affinity', 'beta': 0.11}
Temperature:  0.5
Sampling: iteration: 0/51
{'Validity': 0.99609375, 'Novelty': 1.0, 'Uniqueness': 0.996078431372549}
Training Epoch: 0 | iteration: 0/262 | Loss: 1.0216383934020996
Training Epoch: 0 | iteration: 1/262 | Loss: 0.9336475133895874
Training Epoch: 0 | iteration: 2/262 | Loss: 0.9506531953811646
Training Epoch: 0 | iteration: 3/262 | Loss: 0.9528887271881104
Training Epoch: 0 | iteration: 4/262 | Loss: 0.9300087094306946
Training Epoch: 0 | iteration: 5/262 | Loss: 0.9377349615097046
Training Epoch: 0 | iteration: 6/262 | Loss: 0.8895305395126343
Training Epoch: 0 | iteration: 7/262 | Loss: 0.799234926700592
Training Epoch: 0 | iteration: 8/262 | Loss: 0.8603264689445496
Training Epoch: 0 | iteration: 9/262 | Loss: 0.9766194820404053
Training Epoch: 0 | iteration: 10/262 | Loss: 1.0017955303192139
Training Epoch: 0 | iteration: 11/262 | Loss: 0.9272040128707886
Training Epoch: 0 | iteration: 12/262 | Loss: 0.898357629776001
Training Epoch: 0 | iteration: 13/262 | Loss: 0.9288209080696106
Training Epoch: 0 | iteration: 14/262 | Loss: 0.8404661417007446
Training Epoch: 0 | iteration: 15/262 | Loss: 1.0137660503387451
Training Epoch: 0 | iteration: 16/262 | Loss: 0.952286958694458
Training Epoch: 0 | iteration: 17/262 | Loss: 0.8289235234260559
Training Epoch: 0 | iteration: 18/262 | Loss: 0.9594689607620239
Training Epoch: 0 | iteration: 19/262 | Loss: 0.9007806777954102
Training Epoch: 0 | iteration: 20/262 | Loss: 0.8001880645751953
Training Epoch: 0 | iteration: 21/262 | Loss: 1.0439532995224
Training Epoch: 0 | iteration: 22/262 | Loss: 0.9961091876029968
Training Epoch: 0 | iteration: 23/262 | Loss: 1.0175021886825562
Training Epoch: 0 | iteration: 24/262 | Loss: 0.9563353061676025
Training Epoch: 0 | iteration: 25/262 | Loss: 0.8232857584953308
Training Epoch: 0 | iteration: 26/262 | Loss: 0.9687631130218506
Training Epoch: 0 | iteration: 27/262 | Loss: 0.8818795084953308
Training Epoch: 0 | iteration: 28/262 | Loss: 0.942767322063446
Training Epoch: 0 | iteration: 29/262 | Loss: 0.9039536118507385
Training Epoch: 0 | iteration: 30/262 | Loss: 0.883097767829895
Training Epoch: 0 | iteration: 31/262 | Loss: 0.9213604927062988
Training Epoch: 0 | iteration: 32/262 | Loss: 0.9654048681259155
Training Epoch: 0 | iteration: 33/262 | Loss: 0.9859700202941895
Training Epoch: 0 | iteration: 34/262 | Loss: 0.8559503555297852
Training Epoch: 0 | iteration: 35/262 | Loss: 0.8386022448539734
Training Epoch: 0 | iteration: 36/262 | Loss: 0.8663895130157471
Training Epoch: 0 | iteration: 37/262 | Loss: 0.8990303874015808
Training Epoch: 0 | iteration: 38/262 | Loss: 0.9489302635192871
Training Epoch: 0 | iteration: 39/262 | Loss: 0.8334866762161255
Training Epoch: 0 | iteration: 40/262 | Loss: 0.8921371102333069
Training Epoch: 0 | iteration: 41/262 | Loss: 0.9253222942352295
Training Epoch: 0 | iteration: 42/262 | Loss: 0.8065991401672363
Training Epoch: 0 | iteration: 43/262 | Loss: 0.9864484071731567
Training Epoch: 0 | iteration: 44/262 | Loss: 0.9488969445228577
Training Epoch: 0 | iteration: 45/262 | Loss: 0.8758042454719543
Training Epoch: 0 | iteration: 46/262 | Loss: 0.8510960936546326
Training Epoch: 0 | iteration: 47/262 | Loss: 0.8841689229011536
Training Epoch: 0 | iteration: 48/262 | Loss: 0.9298275709152222
Training Epoch: 0 | iteration: 49/262 | Loss: 0.9392217397689819
Training Epoch: 0 | iteration: 50/262 | Loss: 0.853115439414978
Training Epoch: 0 | iteration: 51/262 | Loss: 0.9650306105613708
Training Epoch: 0 | iteration: 52/262 | Loss: 0.8843971490859985
Training Epoch: 0 | iteration: 53/262 | Loss: 0.9241495132446289
Training Epoch: 0 | iteration: 54/262 | Loss: 0.9396130442619324
Training Epoch: 0 | iteration: 55/262 | Loss: 0.8064706921577454
Training Epoch: 0 | iteration: 56/262 | Loss: 0.8847790360450745
Training Epoch: 0 | iteration: 57/262 | Loss: 0.8630698919296265
Training Epoch: 0 | iteration: 58/262 | Loss: 0.9616280198097229
Training Epoch: 0 | iteration: 59/262 | Loss: 0.8845040798187256
Training Epoch: 0 | iteration: 60/262 | Loss: 0.9086480140686035
Training Epoch: 0 | iteration: 61/262 | Loss: 0.914723813533783
Training Epoch: 0 | iteration: 62/262 | Loss: 0.9485296010971069
Training Epoch: 0 | iteration: 63/262 | Loss: 0.9849989414215088
Training Epoch: 0 | iteration: 64/262 | Loss: 0.8816595077514648
Training Epoch: 0 | iteration: 65/262 | Loss: 0.7890415191650391
Training Epoch: 0 | iteration: 66/262 | Loss: 0.8594517707824707
Training Epoch: 0 | iteration: 67/262 | Loss: 0.8548113107681274
Training Epoch: 0 | iteration: 68/262 | Loss: 0.9344169497489929
Training Epoch: 0 | iteration: 69/262 | Loss: 0.8493930101394653
Training Epoch: 0 | iteration: 70/262 | Loss: 0.8888527154922485
Training Epoch: 0 | iteration: 71/262 | Loss: 0.9064671993255615
Training Epoch: 0 | iteration: 72/262 | Loss: 0.736315131187439
Training Epoch: 0 | iteration: 73/262 | Loss: 0.862354040145874
Training Epoch: 0 | iteration: 74/262 | Loss: 0.8170768022537231
Training Epoch: 0 | iteration: 75/262 | Loss: 0.813427746295929
