Starting ...
cuda
Properties to use:  ['affinity', 'sas']
Building Vocab
{'batch_size': 128, 'd_model': 512, 'n_heads': 8, 'n_layers': 6, 'hidden_units': 512, 'lr': 1e-05, 'epochs': 10, 'properties': ['affinity', 'sas'], 'run_name': 'LCK_DOCKSTRING_FAST_ACTUAL_affinity_sas'}
length of preference data : 41795
Sample preference_data[0]: ['O1C(C(=O)N2CCN(CC2)C3=CC=C(N(=O)=O)C=C3)=C(C=4C1=CC=CC4)C', array([0.47959185, 0.53255087, 0.54797947, 0.15855041, 0.16055913]), [np.str_('O1C(=NC2=C(C1=O)C=CC=C2)C3=C(C(=O)NCCC4=CC=CC=C4)C=CC(OC)=C3'), np.float64(0.9873459430403937), array([0.52040816, 0.54211667, 0.55725834, 0.15815913, 0.16377715])], [np.str_('O1C(=NC2=C(C1=O)C=CC=C2)C3=CC(OC(=O)C=4C=CC=CC4)=C(OC)C=C3'), np.float64(0.9574398041990725), array([0.43877551, 0.55263869, 0.41284505, 0.14420153, 0.15814562])]]
LCK_DOCKSTRING_FAST_ACTUAL_affinity_sas
len(target_smiles): 41800
len(data): 41800
LCK_DOCKSTRING_FAST_ACTUAL_affinity_sas
dataset built
cuda
True
2.7.1+cu118
No of GPUs available 4
No of GPUs available 4
{'batch_size': 128, 'd_model': 512, 'n_heads': 8, 'n_layers': 6, 'hidden_units': 512, 'lr': 1e-05, 'epochs': 10, 'properties': ['affinity', 'sas'], 'ipo': False, 'run_name': 'DPO_Finetuning_BETA_0.11_epochs_10_LCK_DOCKSTRING_FAST_ACTUAL_affinity_sas', 'beta': 0.11}
Temperature:  0.5
Sampling: iteration: 0/51
{'Validity': 0.9970703125, 'Novelty': 1.0, 'Uniqueness': 0.9941234084231146}
Training Epoch: 0 | iteration: 0/262 | Loss: 0.9786747097969055
Training Epoch: 0 | iteration: 1/262 | Loss: 0.9563084244728088
Training Epoch: 0 | iteration: 2/262 | Loss: 0.9274454116821289
Training Epoch: 0 | iteration: 3/262 | Loss: 0.9385970830917358
Training Epoch: 0 | iteration: 4/262 | Loss: 0.9304494857788086
Training Epoch: 0 | iteration: 5/262 | Loss: 0.9079973697662354
Training Epoch: 0 | iteration: 6/262 | Loss: 0.899752140045166
Training Epoch: 0 | iteration: 7/262 | Loss: 1.0285124778747559
Training Epoch: 0 | iteration: 8/262 | Loss: 0.9723005890846252
Training Epoch: 0 | iteration: 9/262 | Loss: 0.8565446138381958
Training Epoch: 0 | iteration: 10/262 | Loss: 0.9646827578544617
Training Epoch: 0 | iteration: 11/262 | Loss: 0.9552127122879028
Training Epoch: 0 | iteration: 12/262 | Loss: 0.9248489141464233
Training Epoch: 0 | iteration: 13/262 | Loss: 0.8823729753494263
Training Epoch: 0 | iteration: 14/262 | Loss: 0.9464054107666016
Training Epoch: 0 | iteration: 15/262 | Loss: 0.9159576892852783
Training Epoch: 0 | iteration: 16/262 | Loss: 0.9039188623428345
Training Epoch: 0 | iteration: 17/262 | Loss: 0.8406450152397156
Training Epoch: 0 | iteration: 18/262 | Loss: 0.8919342160224915
Training Epoch: 0 | iteration: 19/262 | Loss: 0.9213703870773315
Training Epoch: 0 | iteration: 20/262 | Loss: 0.8889422416687012
Training Epoch: 0 | iteration: 21/262 | Loss: 0.9151554107666016
Training Epoch: 0 | iteration: 22/262 | Loss: 0.914146900177002
Training Epoch: 0 | iteration: 23/262 | Loss: 0.8938076496124268
Training Epoch: 0 | iteration: 24/262 | Loss: 0.8569836616516113
Training Epoch: 0 | iteration: 25/262 | Loss: 0.9294520616531372
Training Epoch: 0 | iteration: 26/262 | Loss: 0.8957844376564026
Training Epoch: 0 | iteration: 27/262 | Loss: 0.8104981184005737
Training Epoch: 0 | iteration: 28/262 | Loss: 0.8821648955345154
Training Epoch: 0 | iteration: 29/262 | Loss: 0.8708441257476807
Training Epoch: 0 | iteration: 30/262 | Loss: 0.9162256717681885
Training Epoch: 0 | iteration: 31/262 | Loss: 0.848386287689209
Training Epoch: 0 | iteration: 32/262 | Loss: 0.8567014932632446
Training Epoch: 0 | iteration: 33/262 | Loss: 0.7669097185134888
Training Epoch: 0 | iteration: 34/262 | Loss: 0.8655593395233154
Training Epoch: 0 | iteration: 35/262 | Loss: 0.8948677778244019
Training Epoch: 0 | iteration: 36/262 | Loss: 0.7728863954544067
Training Epoch: 0 | iteration: 37/262 | Loss: 0.9588488340377808
Training Epoch: 0 | iteration: 38/262 | Loss: 0.9554843902587891
Training Epoch: 0 | iteration: 39/262 | Loss: 0.8884325623512268
Training Epoch: 0 | iteration: 40/262 | Loss: 0.8444047570228577
Training Epoch: 0 | iteration: 41/262 | Loss: 0.8464637398719788
Training Epoch: 0 | iteration: 42/262 | Loss: 0.8238281607627869
Training Epoch: 0 | iteration: 43/262 | Loss: 0.8332761526107788
Training Epoch: 0 | iteration: 44/262 | Loss: 0.831034243106842
Training Epoch: 0 | iteration: 45/262 | Loss: 0.8272229433059692
Training Epoch: 0 | iteration: 46/262 | Loss: 0.9048608541488647
Training Epoch: 0 | iteration: 47/262 | Loss: 0.8568277955055237
Training Epoch: 0 | iteration: 48/262 | Loss: 0.8454750776290894
Training Epoch: 0 | iteration: 49/262 | Loss: 0.8323973417282104
Training Epoch: 0 | iteration: 50/262 | Loss: 0.903680145740509
Training Epoch: 0 | iteration: 51/262 | Loss: 0.7790011167526245
Training Epoch: 0 | iteration: 52/262 | Loss: 0.925065279006958
Training Epoch: 0 | iteration: 53/262 | Loss: 0.8655558824539185
Training Epoch: 0 | iteration: 54/262 | Loss: 0.9053860902786255
Training Epoch: 0 | iteration: 55/262 | Loss: 0.8148282766342163
Training Epoch: 0 | iteration: 56/262 | Loss: 0.8869657516479492
Training Epoch: 0 | iteration: 57/262 | Loss: 0.898784339427948
Training Epoch: 0 | iteration: 58/262 | Loss: 0.8229358196258545
Training Epoch: 0 | iteration: 59/262 | Loss: 0.9450865983963013
Training Epoch: 0 | iteration: 60/262 | Loss: 0.9095872640609741
Training Epoch: 0 | iteration: 61/262 | Loss: 0.906682550907135
Training Epoch: 0 | iteration: 62/262 | Loss: 0.8890001773834229
Training Epoch: 0 | iteration: 63/262 | Loss: 0.8446038961410522
Training Epoch: 0 | iteration: 64/262 | Loss: 0.8039771318435669
Training Epoch: 0 | iteration: 65/262 | Loss: 0.8548595905303955
Training Epoch: 0 | iteration: 66/262 | Loss: 0.9298689365386963
Training Epoch: 0 | iteration: 67/262 | Loss: 0.8769443035125732
