Starting ...
cuda
Properties to use:  ['affinity', 'tpsas']
Building Vocab
{'batch_size': 128, 'd_model': 512, 'n_heads': 8, 'n_layers': 6, 'hidden_units': 512, 'lr': 1e-05, 'epochs': 10, 'properties': ['affinity', 'tpsas'], 'run_name': 'LCK_DOCKSTRING_FAST_ACTUAL_affinity_tpsas'}
length of preference data : 41795
Sample preference_data[0]: ['O1C(C(=O)N2CCN(CC2)C3=CC=C(N(=O)=O)C=C3)=C(C=4C1=CC=CC4)C', array([0.47959185, 0.53255087, 0.54797947, 0.15855041, 0.16055913]), [np.str_('O1C(=NC2=C(C1=O)C=CC=C2)C3=C(C(=O)NCCC4=CC=CC=C4)C=CC(OC)=C3'), np.float64(0.9873459430403937), array([0.52040816, 0.54211667, 0.55725834, 0.15815913, 0.16377715])], [np.str_('O1C(=NC2=C(C1=O)C=CC=C2)C3=CC(OC(=O)C=4C=CC=CC4)=C(OC)C=C3'), np.float64(0.9574398041990725), array([0.43877551, 0.55263869, 0.41284505, 0.14420153, 0.15814562])]]
LCK_DOCKSTRING_FAST_ACTUAL_affinity_tpsas
len(target_smiles): 41800
len(data): 41800
LCK_DOCKSTRING_FAST_ACTUAL_affinity_tpsas
dataset built
cuda
True
2.7.1+cu118
No of GPUs available 4
No of GPUs available 4
{'batch_size': 128, 'd_model': 512, 'n_heads': 8, 'n_layers': 6, 'hidden_units': 512, 'lr': 1e-05, 'epochs': 10, 'properties': ['affinity', 'tpsas'], 'ipo': False, 'run_name': 'DPO_Finetuning_BETA_0.11_epochs_10_LCK_DOCKSTRING_FAST_ACTUAL_affinity_tpsas', 'beta': 0.11}
Temperature:  0.5
Sampling: iteration: 0/51
{'Validity': 0.9951171875, 'Novelty': 1.0, 'Uniqueness': 0.9950932286555446}
Training Epoch: 0 | iteration: 0/262 | Loss: 1.0754859447479248
Training Epoch: 0 | iteration: 1/262 | Loss: 0.9898402690887451
Training Epoch: 0 | iteration: 2/262 | Loss: 0.8995699882507324
Training Epoch: 0 | iteration: 3/262 | Loss: 1.1379860639572144
Training Epoch: 0 | iteration: 4/262 | Loss: 1.1244465112686157
Training Epoch: 0 | iteration: 5/262 | Loss: 0.9397009611129761
Training Epoch: 0 | iteration: 6/262 | Loss: 0.9584678411483765
Training Epoch: 0 | iteration: 7/262 | Loss: 1.0072988271713257
Training Epoch: 0 | iteration: 8/262 | Loss: 0.9722787141799927
Training Epoch: 0 | iteration: 9/262 | Loss: 0.9369579553604126
Training Epoch: 0 | iteration: 10/262 | Loss: 0.9945954084396362
Training Epoch: 0 | iteration: 11/262 | Loss: 1.0441129207611084
Training Epoch: 0 | iteration: 12/262 | Loss: 0.9894334077835083
Training Epoch: 0 | iteration: 13/262 | Loss: 0.9023327827453613
Training Epoch: 0 | iteration: 14/262 | Loss: 0.914806604385376
Training Epoch: 0 | iteration: 15/262 | Loss: 0.9602636098861694
Training Epoch: 0 | iteration: 16/262 | Loss: 0.9342223405838013
Training Epoch: 0 | iteration: 17/262 | Loss: 0.9459731578826904
Training Epoch: 0 | iteration: 18/262 | Loss: 0.9465194940567017
Training Epoch: 0 | iteration: 19/262 | Loss: 0.9049240350723267
Training Epoch: 0 | iteration: 20/262 | Loss: 0.9490554332733154
Training Epoch: 0 | iteration: 21/262 | Loss: 1.0203741788864136
Training Epoch: 0 | iteration: 22/262 | Loss: 0.9066812992095947
Training Epoch: 0 | iteration: 23/262 | Loss: 0.9383702278137207
Training Epoch: 0 | iteration: 24/262 | Loss: 0.9577591419219971
Training Epoch: 0 | iteration: 25/262 | Loss: 0.911102294921875
Training Epoch: 0 | iteration: 26/262 | Loss: 0.9673423767089844
Training Epoch: 0 | iteration: 27/262 | Loss: 0.9126611948013306
Training Epoch: 0 | iteration: 28/262 | Loss: 0.9343171119689941
Training Epoch: 0 | iteration: 29/262 | Loss: 0.989181637763977
Training Epoch: 0 | iteration: 30/262 | Loss: 0.8593746423721313
Training Epoch: 0 | iteration: 31/262 | Loss: 0.8330782651901245
Training Epoch: 0 | iteration: 32/262 | Loss: 0.8631469011306763
Training Epoch: 0 | iteration: 33/262 | Loss: 0.8862637877464294
Training Epoch: 0 | iteration: 34/262 | Loss: 1.0123870372772217
Training Epoch: 0 | iteration: 35/262 | Loss: 0.8695258498191833
Training Epoch: 0 | iteration: 36/262 | Loss: 0.9150949120521545
Training Epoch: 0 | iteration: 37/262 | Loss: 0.8728095889091492
Training Epoch: 0 | iteration: 38/262 | Loss: 0.8051316738128662
Training Epoch: 0 | iteration: 39/262 | Loss: 0.8880412578582764
Training Epoch: 0 | iteration: 40/262 | Loss: 0.9237805008888245
Training Epoch: 0 | iteration: 41/262 | Loss: 0.8408502340316772
Training Epoch: 0 | iteration: 42/262 | Loss: 0.8316556215286255
Training Epoch: 0 | iteration: 43/262 | Loss: 0.8969514966011047
Training Epoch: 0 | iteration: 44/262 | Loss: 0.8140161633491516
Training Epoch: 0 | iteration: 45/262 | Loss: 0.8354214429855347
Training Epoch: 0 | iteration: 46/262 | Loss: 0.9110324382781982
Training Epoch: 0 | iteration: 47/262 | Loss: 0.8279143571853638
Training Epoch: 0 | iteration: 48/262 | Loss: 0.8158742785453796
Training Epoch: 0 | iteration: 49/262 | Loss: 0.9218162894248962
Training Epoch: 0 | iteration: 50/262 | Loss: 0.8349411487579346
Training Epoch: 0 | iteration: 51/262 | Loss: 0.830858588218689
Training Epoch: 0 | iteration: 52/262 | Loss: 0.8777003288269043
Training Epoch: 0 | iteration: 53/262 | Loss: 0.89187091588974
Training Epoch: 0 | iteration: 54/262 | Loss: 0.8958767652511597
Training Epoch: 0 | iteration: 55/262 | Loss: 0.8811473250389099
Training Epoch: 0 | iteration: 56/262 | Loss: 0.944678544998169
Training Epoch: 0 | iteration: 57/262 | Loss: 0.9339070320129395
Training Epoch: 0 | iteration: 58/262 | Loss: 0.912484884262085
Training Epoch: 0 | iteration: 59/262 | Loss: 1.0036702156066895
Training Epoch: 0 | iteration: 60/262 | Loss: 0.9610233306884766
Training Epoch: 0 | iteration: 61/262 | Loss: 0.8858604431152344
Training Epoch: 0 | iteration: 62/262 | Loss: 0.7452315092086792
Training Epoch: 0 | iteration: 63/262 | Loss: 0.7963829636573792
Training Epoch: 0 | iteration: 64/262 | Loss: 0.9009649753570557
Training Epoch: 0 | iteration: 65/262 | Loss: 0.8918525576591492
Training Epoch: 0 | iteration: 66/262 | Loss: 0.8457577228546143
Training Epoch: 0 | iteration: 67/262 | Loss: 0.9632489085197449
Training Epoch: 0 | iteration: 68/262 | Loss: 0.8943849802017212
Training Epoch: 0 | iteration: 69/262 | Loss: 0.9525039196014404
Training Epoch: 0 | iteration: 70/262 | Loss: 0.8432443141937256
Training Epoch: 0 | iteration: 71/262 | Loss: 0.9211109280586243
Training Epoch: 0 | iteration: 72/262 | Loss: 0.870624303817749
Training Epoch: 0 | iteration: 73/262 | Loss: 0.8460427522659302
Training Epoch: 0 | iteration: 74/262 | Loss: 0.9299769997596741
Training Epoch: 0 | iteration: 75/262 | Loss: 0.8230348825454712
Training Epoch: 0 | iteration: 76/262 | Loss: 0.914980411529541
Training Epoch: 0 | iteration: 77/262 | Loss: 0.8763115406036377
Training Epoch: 0 | iteration: 78/262 | Loss: 0.8050116896629333
Training Epoch: 0 | iteration: 79/262 | Loss: 0.921988308429718
Training Epoch: 0 | iteration: 80/262 | Loss: 0.8849197030067444
Training Epoch: 0 | iteration: 81/262 | Loss: 0.8866660594940186
Training Epoch: 0 | iteration: 82/262 | Loss: 0.9007797241210938
Training Epoch: 0 | iteration: 83/262 | Loss: 0.7541386485099792
Training Epoch: 0 | iteration: 84/262 | Loss: 0.8467285633087158
Training Epoch: 0 | iteration: 85/262 | Loss: 0.8473678231239319
Training Epoch: 0 | iteration: 86/262 | Loss: 0.9329877495765686
Training Epoch: 0 | iteration: 87/262 | Loss: 0.8800672292709351
Training Epoch: 0 | iteration: 88/262 | Loss: 0.9868807792663574
Training Epoch: 0 | iteration: 89/262 | Loss: 0.896059513092041
